fiscal_year,fy_end_year,cdcr_parole_nominal,cdcr_parole_2024_dollars,county_probation_nominal,county_probation_2024_dollars,sco_prcs_allocations_nominal,sco_prcs_allocations_2024_dollars
2011-12,2012,751962000,1039905195,1186830814,1641295078,,
2012-13,2013,596274000,809983964,1324156693,1798746359,,
2013-14,2014,495214000,662675634,1412417122,1890040288,,
2014-15,2015,487374000,646676144,1511443223,2005470695,,
2015-16,2016,575677000,758397121,1622711189,2137760401,,
2016-17,2017,592760000,767704831,1702280977,2204685420,,
2017-18,2018,659953000,835780865,1822011878,2307441080,15385250,19484263
2018-19,2019,709090000,879226827,1872250103,2321471911,28177000,34937701
2019-20,2020,758209000,926241321,2004945611,2449276481,17772219,21710852
2020-21,2021,709927000,842050069,1999505848,2371629813,12935500,15342900
2021-22,2022,742842000,827956568,2132962996,2377357124,23564750,26264791
2022-23,2023,765501000,805224018,2174045848,2286860413,20930500,22016616
2023-24,2024,777589000,789652436,2327088160,2363190368,9317000,9461543
